Category,Preference
Technology & Electronics,True
Health & Wellness,True
Finance & Insurance,False
Automotive & Transport,False
Education & Learning,False
Entertainment & Media,False
Food & Beverages,False
Travel & Tourism,True
Retail & Consumer Goods,False
Beauty & Personal Care,False
Home & Garden,True
Sports & Fitness,False
Real Estate & Housing,False
Professional Services,False
Energy & Environment,False
